Store,Date,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,F13,Right_Store,Type,Size,"DMA "
22,2011-01-07,32.56,3193,1367332569,8458,False,"",22,B,119557,Houston
39,2011-08-05,87.73,3684,2142972939,8177,False,"",39,A,184109,Chicago
30,2010-08-20,89.58,2664,2112596586,8099,False,"",30,C,42988,Los Angeles
24,2010-06-18,67.17,2942,1324733333,8211,False,"",24,A,203819,Atlanta
37,2010-04-02,63.43,2719,2095938656,8464,False,"",37,C,39910,Austin
26,2011-07-29,63.32,3898,1359639355,7767,False,"",26,A,152513,Los Angeles
8,2012-06-15,77.14,3393,2253134743,5679,False,"",8,A,155078,San Diego
18,2010-11-19,45.26,44623,1329172,9331,False,"",18,B,120653,Los Angeles
43,2013-01-18,35.85,3237,2155301728,8934,False,"",43,C,41062,San Diego
12,2012-03-30,64.36,4294,1309670968,12187,False,"",12,B,112238,Chicago
26,2010-08-06,62.93,2792,1326141935,8445,False,"",26,A,152513,Los Angeles
43,2011-07-22,88.58,3651,2072538111,10641,False,"",43,C,41062,San Diego
39,2011-12-02,53.14,3172,2174229206,7716,False,"",39,A,184109,Chicago
19,2010-12-03,36.64,44595,1327566667,8067,False,"",19,A,203819,Philadelphia
8,2011-05-20,65.54,3907,2191746922,6297,False,"",8,A,155078,San Diego
23,2010-05-28,69.26,2906,1322939355,5435,False,"",23,B,114533,Philadelphia
9,2010-04-09,64.95,2.77,2141399135,6384,False,"",9,B,125833,Dallas-Ft.Worth
42,2010-11-19,58.83,3047,1266072,9003,False,"",42,C,39690,Los Angeles
44,2012-06-08,68.4,3776,1308896774,5621,False,"",44,C,39910,Atlanta
6,2013-05-17,72.28,3454,,,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
18,2013-07-19,80.48,3803,,,False,"",18,B,120653,Los Angeles
27,2011-07-29,79.41,4004,1398933099,7.85,False,"",27,A,204184,Houston
18,2012-06-01,71.42,3798,1381138065,8304,False,"",18,B,120653,Los Angeles
40,2012-09-28,50.98,4018,1387395,4156,False,"",40,A,155083,Charlotte
13,2011-02-04,23.35,2974,1277195806,7.47,False,"",13,A,219622,Los Angeles
19,2011-06-03,66.01,4069,1348551613,7658,False,"",19,A,203819,Philadelphia
10,2010-09-03,83.8,3087,1261019355,9199,False,"",10,B,126512,Cleveland-Akron
2,2012-11-23,58.06,3211,2231957173,6.17,True,"",2,A,202307,Cleveland-Akron
45,2013-03-15,42.81,3834,1932962767,8625,False,"",45,B,118221,Tampa-St. Pete
15,2012-04-20,54.47,4.17,1379230667,8.15,False,"",15,B,123737,Denver
5,2013-07-19,79.73,3556,,,False,"",5,B,34875,Austin
1,2011-09-30,79.69,3355,2167105965,7962,False,"",1,A,151315,Houston
18,2011-05-20,57.55,4101,1346803871,8975,False,"",18,B,120653,Los Angeles
25,2010-08-27,67.15,2755,2047900305,7527,False,"",25,B,128107,Kansas City
29,2010-04-23,51.04,2895,1320226667,10.16,False,"",29,B,93638,Chicago
4,2013-02-01,49.07,3232,1321537097,3921,False,"",4,A,205863,Houston
22,2011-09-02,69.16,3784,140196985,8023,False,"",22,B,119557,Houston
6,2010-07-09,80.93,2642,2126296549,6973,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
15,2010-07-30,72.04,2932,1325983871,8099,False,"",15,B,123737,Denver
2,2010-11-26,62.98,2735,2114062867,8163,True,"",2,A,202307,Cleveland-Akron
20,2010-08-20,75.34,2779,2048217044,7527,False,"",20,A,203742,Tampa-St. Pete
9,2011-12-09,37.65,3158,2226561203,6054,False,"",9,B,125833,Dallas-Ft.Worth
26,2012-09-07,61.58,3921,1384729355,7405,True,"",26,A,152513,Los Angeles
8,2011-02-25,51.29,3065,2169247918,6262,False,"",8,A,155078,San Diego
8,2010-03-26,46.51,2732,2143703567,6299,False,"",8,A,155078,San Diego
45,2013-01-11,38.78,3611,1927599801,8625,False,"",45,B,118221,Tampa-St. Pete
14,2012-09-21,65.32,4038,1918567038,8684,False,"",14,A,200898,Dallas-Ft.Worth
40,2012-05-04,44.47,3991,1380332,4125,False,"",40,A,155083,Charlotte
29,2013-05-10,55.35,3603,,,False,"",29,B,93638,Chicago
36,2011-08-12,87.64,3608,2143602701,8177,False,"",36,A,39910,Salt Lake City
34,2011-07-08,80.84,3469,1291125,10641,False,"",34,A,158114,Cleveland-Akron
17,2011-02-04,11.29,2974,1277195806,6866,False,"",17,B,93188,Charlotte
11,2010-02-12,48.01,2548,2145747916,7368,True,"",11,A,207499,Los Angeles
28,2012-07-13,95.61,3723,130683,10926,False,"",28,A,206302,Dallas-Ft.Worth
2,2013-02-01,54.75,3244,2238691966,6237,False,"",2,A,202307,Cleveland-Akron
43,2013-06-07,83.61,3439,,,False,"",43,C,41062,San Diego
20,2011-08-05,77.8,3842,208719238,7274,False,"",20,A,203742,Tampa-St. Pete
5,2012-11-30,56.2,3207,2242054191,5422,False,"",5,B,34875,Austin
27,2011-02-11,30.45,3416,1371378318,7827,True,"",27,A,204184,Houston
23,2013-05-24,59.75,3654,,,False,"",23,B,114533,Philadelphia
32,2012-06-08,71.14,3741,1976551863,44812,False,"",32,A,203007,Denver
15,2013-05-03,58.11,3775,,,False,"",15,B,123737,Denver
37,2011-02-11,41.16,3022,2116985093,8395,True,"",37,C,39910,Austin
22,2011-07-01,70.8,3815,13936375,8023,False,"",22,B,119557,Houston
17,2010-03-12,29.71,2733,1266042857,6548,False,"",17,B,93188,Charlotte
44,2010-02-26,29.98,2667,1265522857,8119,False,"",44,C,39910,Atlanta
36,2011-07-15,85.63,3.55,2141083654,8177,False,"",36,A,39910,Salt Lake City
36,2010-06-04,79.93,2664,2099398091,8464,False,"",36,A,39910,Salt Lake City
19,2013-01-25,44671,3.78,1387333871,8036,False,"",19,A,203819,Philadelphia
3,2012-12-28,51.76,3108,2275148363,6034,True,"",3,B,37392,Denver
37,2010-05-21,77.34,2826,2093922937,8464,False,"",37,C,39910,Austin
21,2012-09-14,76.1,3717,2222174395,6565,False,"",21,B,140167,Salt Lake City
29,2011-03-11,41.42,44715,1337361429,10256,False,"",29,B,93638,Chicago
42,2012-08-17,88.83,4002,1307909677,7.17,False,"",42,C,39690,Los Angeles
31,2012-09-21,71.54,3721,2224169362,6565,False,"",31,A,203750,Atlanta
44,2012-07-27,80.42,3537,1307195806,5407,False,"",44,C,39910,Atlanta
21,2013-02-22,49.09,3597,2240547032,6237,False,"",21,B,140167,Salt Lake City
32,2012-10-05,55.34,3779,1988221322,7557,False,"",32,A,203007,Denver
14,2011-01-14,24.78,3205,1826585782,8549,False,"",14,A,200898,Dallas-Ft.Worth
27,2011-04-29,61.71,4117,1383303119,7725,False,"",27,A,204184,Houston
28,2013-05-17,83.43,3809,,,False,"",28,A,206302,Dallas-Ft.Worth
7,2010-08-20,59.59,2732,1902948237,9017,False,"",7,B,70713,Cleveland-Akron
23,2011-05-13,55.12,4095,134593,4781,False,"",23,B,114533,Philadelphia
29,2012-11-16,45.84,3754,1384473,9151,False,"",29,B,93638,Chicago
31,2010-02-05,39.05,2572,2107526053,8324,False,"",31,A,203750,Atlanta
43,2010-12-31,48.61,2943,2034176843,10.21,True,"",43,C,41062,San Diego
20,2012-07-13,78.27,3523,214728027,7.28,False,"",20,A,203742,Tampa-St. Pete
13,2013-03-29,41.71,3518,1325914516,5372,False,"",13,A,219622,Los Angeles
27,2013-05-31,64.65,3808,,,False,"",27,A,204184,Houston
21,2011-11-18,61.9,3308,2178670218,7441,False,"",21,B,140167,Salt Lake City
44,2011-05-27,54.62,3778,1290623548,6906,False,"",44,C,39910,Atlanta
6,2013-03-15,59.18,3622,2264615074,5372,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
33,2013-07-05,99.66,3753,,,False,"",33,A,39690,Atlanta
41,2012-12-21,27.14,3218,1999440662,6195,False,"",41,A,196321,Los Angeles
35,2010-11-12,45.9,2931,1368349032,8763,False,"",35,B,103681,Austin
41,2012-07-27,73.31,3.57,1979792136,6432,False,"",41,A,196321,Los Angeles
31,2011-07-22,90.27,3651,2150749122,7852,False,"",31,A,203750,Atlanta
39,2010-02-19,43.96,2514,2100451024,8554,False,"",39,A,184109,Chicago
3,2011-04-22,76.91,3807,218851237,7574,False,"",3,B,37392,Denver
10,2011-06-17,87.96,3935,1290432,8494,False,"",10,B,126512,Cleveland-Akron
14,2010-12-03,40.93,3046,1826676154,8724,False,"",14,A,200898,Dallas-Ft.Worth
12,2012-06-29,90.47,3875,1307562667,11627,False,"",12,B,112238,Chicago
15,2012-08-24,66.98,3997,1382814516,8193,False,"",15,B,123737,Denver
14,2011-04-29,66.18,3962,1858029526,8521,False,"",14,A,200898,Dallas-Ft.Worth
26,2012-02-10,23.89,3655,1371666774,7467,True,"",26,A,152513,Los Angeles
38,2013-03-08,60.4,3874,1324150714,9.91,False,"",38,C,39690,Kansas City
14,2010-06-18,72.62,2.78,1824424199,8899,False,"",14,A,200898,Dallas-Ft.Worth
28,2010-12-31,45.64,3148,1270876774,14313,True,"",28,A,206302,Dallas-Ft.Worth
2,2012-03-23,64.01,3787,2209244858,7057,False,"",2,A,202307,Cleveland-Akron
12,2010-09-03,83.12,3087,1261019355,14.18,False,"",12,B,112238,Chicago
32,2012-01-20,36.86,3055,1967796652,8256,False,"",32,A,203007,Denver
7,2010-05-07,40.07,2771,1895312483,8963,False,"",7,B,70713,Cleveland-Akron
7,2010-02-19,27.28,2.55,1895340998,9014,False,"",7,B,70713,Cleveland-Akron
36,2013-02-22,59.22,3625,2230946294,6266,False,"",36,A,39910,Salt Lake City
34,2013-02-08,47.63,3401,132215129,8934,True,"",34,A,158114,Cleveland-Akron
40,2010-10-22,41.25,2919,1328170968,5287,False,"",40,A,155083,Charlotte
6,2011-09-16,84.94,3526,2175797506,6925,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
36,2012-12-21,63.08,3092,2225039579,6228,False,"",36,A,39910,Salt Lake City
28,2012-10-26,65.95,4301,1311930968,10199,False,"",28,A,206302,Dallas-Ft.Worth
18,2010-02-26,35.42,2753,131686,9202,False,"",18,B,120653,Los Angeles
43,2012-04-13,70.18,3891,2129632857,9575,False,"",43,C,41062,San Diego
36,2011-04-22,74.57,3805,2141921572,44628,False,"",36,A,39910,Salt Lake City
15,2011-05-06,49.87,4192,1345143667,7658,False,"",15,B,123737,Denver
13,2012-08-24,77.37,3582,1308381613,5765,False,"",13,A,219622,Los Angeles
30,2010-10-29,67.51,2716,2115661131,8163,False,"",30,C,42988,Los Angeles
33,2010-11-19,61.95,3047,1266072,9265,False,"",33,A,39690,Atlanta
38,2011-08-26,94.61,3.74,1292832581,13503,False,"",38,C,39690,Kansas City
20,2012-07-06,79.2,3475,2146873514,7.28,False,"",20,A,203742,Tampa-St. Pete
31,2012-02-24,54.81,3555,220275944,7057,False,"",31,A,203750,Atlanta
28,2012-05-18,84.51,44869,1310983226,11627,False,"",28,A,206302,Dallas-Ft.Worth
45,2012-05-11,61.24,3889,1909764167,8567,False,"",45,B,118221,Tampa-St. Pete
30,2011-06-03,83.82,3699,2149254865,7931,False,"",30,C,42988,Los Angeles
42,2011-12-16,50.53,3489,1298980645,7874,False,"",42,C,39690,Los Angeles
15,2011-01-14,19.53,3367,1329510645,7771,False,"",15,B,123737,Denver
15,2011-09-02,67.63,3879,1362440968,7806,False,"",15,B,123737,Denver
33,2010-05-07,75.4,3127,1262898,9849,False,"",33,A,39690,Atlanta
18,2010-06-18,65.96,2805,1324733333,9269,False,"",18,B,120653,Los Angeles
39,2013-03-01,54.16,3711,2232379794,6266,False,"",39,A,184109,Chicago
33,2010-05-21,82.8,44898,1261843871,9849,False,"",33,A,39690,Atlanta
7,2012-11-16,23.91,3479,1994313603,7557,False,"",7,B,70713,Cleveland-Akron
41,2010-04-02,41.31,2725,1897048215,7363,False,"",41,A,196321,Los Angeles
4,2010-08-20,78.83,2671,1260766452,7372,False,"",4,A,205863,Houston
19,2012-01-06,31.84,3585,136698129,7943,False,"",19,A,203819,Philadelphia
29,2010-02-05,24.36,2788,1315279032,10064,False,"",29,B,93638,Chicago
27,2011-12-16,40.68,3611,1404700795,7906,False,"",27,A,204184,Houston
12,2013-06-14,92.14,3771,,,False,"",12,B,112238,Chicago
28,2012-11-30,57.03,3581,1314275333,10199,False,"",28,A,206302,Dallas-Ft.Worth
31,2012-04-13,69.03,3891,2211484028,6891,False,"",31,A,203750,Atlanta
13,2013-01-04,13.43,3066,131852,5372,False,"",13,A,219622,Los Angeles
6,2011-10-28,69.51,3372,219237049,6551,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
6,2012-03-16,62.8,3734,2228186603,6132,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
34,2012-01-20,39.28,3273,1302792258,9653,False,"",34,A,158114,Cleveland-Akron
43,2010-10-29,65.88,2716,2038242258,10.21,False,"",43,C,41062,San Diego
16,2010-09-10,57.24,2.78,1903958293,6868,True,"",16,B,57197,Dallas-Ft.Worth
42,2011-02-04,44.88,3348,1277195806,8744,False,"",42,C,39690,Los Angeles
10,2010-11-19,58.83,3047,1266072,9003,False,"",10,B,126512,Cleveland-Akron
34,2012-11-09,52.98,3337,1312793548,8839,False,"",34,A,158114,Cleveland-Akron
6,2012-08-10,87.04,3494,2235699533,5668,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
40,2012-08-17,69.41,3.84,1381857097,4156,False,"",40,A,155083,Charlotte
5,2012-04-13,70.56,3891,2220971111,5801,False,"",5,B,34875,Austin
20,2010-03-19,47.32,2844,2043782258,8187,False,"",20,A,203742,Tampa-St. Pete
31,2013-05-03,65.51,3386,,,False,"",31,A,203750,Atlanta
15,2013-02-15,30.02,4006,1389004286,8036,False,"",15,B,123737,Denver
26,2011-07-22,69.52,3882,1358738387,7767,False,"",26,A,152513,Los Angeles
7,2011-05-13,36.61,3767,192826069,8595,False,"",7,B,70713,Cleveland-Akron
33,2012-10-19,75.55,4449,1311499677,6895,False,"",33,A,39690,Atlanta
17,2011-06-10,54.57,3732,1290357097,6774,False,"",17,B,93188,Charlotte
3,2010-10-08,66.99,2633,215060858,7564,False,"",3,B,37392,Denver
36,2010-04-02,63.43,2708,2095938656,8464,False,"",36,A,39910,Salt Lake City
40,2011-02-11,16.87,3255,133260871,5114,True,"",40,A,155083,Charlotte
7,2012-02-10,18.79,3103,1969195056,8256,True,"",7,B,70713,Cleveland-Akron
24,2012-02-10,33.82,3826,1371666774,8659,True,"",24,A,203819,Atlanta
32,2010-09-03,70.2,2773,1903621607,9017,False,"",32,A,203007,Denver
37,2012-12-28,55.73,3108,222624112,6228,True,"",37,C,39910,Austin
14,2012-01-20,31.85,3533,1894214733,8424,False,"",14,A,200898,Dallas-Ft.Worth
43,2011-01-21,53.05,3016,2038315161,10398,False,"",43,C,41062,San Diego
10,2012-07-27,83.98,3769,1307195806,7.17,False,"",10,B,126512,Cleveland-Akron
15,2013-06-21,62.53,3793,,,False,"",15,B,123737,Denver
17,2012-04-13,46.94,3833,131108,6235,False,"",17,B,93188,Charlotte
38,2012-07-20,85.53,3726,1307012903,10926,False,"",38,C,39690,Kansas City
20,2012-05-04,62.74,3951,2144771081,7139,False,"",20,A,203742,Tampa-St. Pete
12,2013-02-01,49.54,44715,1321537097,9.91,False,"",12,B,112238,Chicago
45,2013-04-19,56.27,3676,193589304,8335,False,"",45,B,118221,Tampa-St. Pete
32,2010-02-12,44832,2572,1894642725,9014,True,"",32,A,203007,Denver
31,2011-02-18,59.87,3045,2129033115,8028,False,"",31,A,203750,Atlanta
33,2011-07-15,92.83,3779,1291338387,8442,False,"",33,A,39690,Atlanta
10,2011-07-22,88.59,3697,1291507742,8257,False,"",10,B,126512,Cleveland-Akron
22,2010-03-12,43.43,2805,1356270013,8283,False,"",22,B,119557,Houston
32,2012-04-20,49.15,3936,1977227385,44812,False,"",32,A,203007,Denver
8,2010-10-22,62.86,2725,2152248,6433,False,"",8,A,155078,San Diego
36,2011-11-04,58.97,3287,2165634344,7716,False,"",36,A,39910,Salt Lake City
21,2010-05-07,70.87,2835,2100011018,44600,False,"",21,B,140167,Salt Lake City
16,2013-04-26,35.39,3568,2010705712,5324,False,"",16,B,57197,Dallas-Ft.Worth
23,2012-11-02,51.88,3817,1386227097,4145,False,"",23,B,114533,Philadelphia
22,2010-12-24,29.76,3.15,136597273,8572,False,"",22,B,119557,Houston
33,2012-12-21,50.96,3393,131642,6895,False,"",33,A,39690,Atlanta
2,2013-05-03,65.26,3386,,,False,"",2,A,202307,Cleveland-Akron
6,2012-11-30,56.18,3207,2252377455,5329,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
6,2013-02-01,58.57,3244,2258604592,5372,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
39,2010-12-03,53.55,2708,210376263,8476,False,"",39,A,184109,Chicago
39,2011-11-18,66.09,3308,2169395861,7716,False,"",39,A,184109,Chicago
10,2013-02-15,45.8,3612,1322725714,6897,False,"",10,B,126512,Cleveland-Akron
15,2010-07-09,77.33,2.94,1325461333,8099,False,"",15,B,123737,Denver
37,2010-03-26,55.76,2732,2097870932,8554,False,"",37,C,39910,Austin
40,2010-02-26,33.32,2753,131686,5892,False,"",40,A,155083,Charlotte
12,2012-03-02,52.27,4178,1306457931,12187,False,"",12,B,112238,Chicago
41,2012-08-24,69.07,3558,1980984199,6432,False,"",41,A,196321,Los Angeles
38,2012-07-27,93.47,3769,1307195806,10926,False,"",38,C,39690,Kansas City
29,2010-06-18,67.13,2805,1324733333,10.16,False,"",29,B,93638,Chicago
16,2010-09-24,58.19,2793,1905713264,6868,False,"",16,B,57197,Dallas-Ft.Worth
3,2013-03-29,60.69,3606,2285559125,6108,False,"",3,B,37392,Denver
37,2012-11-23,60.96,3211,2222296722,6228,True,"",37,C,39910,Austin
1,2011-03-11,53.56,3459,2141110564,7742,False,"",1,A,151315,Houston
1,2011-12-23,47.96,3112,2193577216,7866,False,"",1,A,151315,Houston
18,2010-12-24,28.16,3.15,1327477419,9331,False,"",18,B,120653,Los Angeles
26,2012-04-06,33.35,3957,1377970968,7489,False,"",26,A,152513,Los Angeles
13,2012-04-20,50.24,3845,1311173333,5965,False,"",13,A,219622,Los Angeles
27,2013-05-10,57.38,3762,,,False,"",27,A,204184,Houston
44,2012-06-15,65.97,3756,1308295333,5621,False,"",44,C,39910,Atlanta
24,2012-07-20,76.42,3732,1382331935,8953,False,"",24,A,203819,Atlanta
43,2011-12-30,41.83,3129,2110740553,10148,True,"",43,C,41062,San Diego
30,2013-02-22,49.09,3597,2240547032,6237,False,"",30,C,42988,Los Angeles
44,2011-10-28,47.41,3567,1297936774,6078,False,"",44,C,39910,Atlanta
35,2011-10-07,56.91,3583,14043475,8745,False,"",35,B,103681,Austin
25,2013-07-26,68.72,3804,,,False,"",25,B,128107,Kansas City
41,2010-09-17,62.4,44775,1904688287,7335,False,"",41,A,196321,Los Angeles
28,2012-03-23,56.26,4038,1308966452,12187,False,"",28,A,206302,Dallas-Ft.Worth
2,2010-09-24,81.79,2624,2112552578,8099,False,"",2,A,202307,Cleveland-Akron
13,2012-06-08,68.4,3776,1308896774,5965,False,"",13,A,219622,Los Angeles
42,2011-10-28,72.79,3843,1297936774,7874,False,"",42,C,39690,Los Angeles
19,2010-02-12,23.22,2.94,1315866129,8.35,True,"",19,A,203819,Philadelphia
19,2013-07-19,79.15,3913,,,False,"",19,A,203819,Philadelphia
9,2011-08-26,88.95,3523,2193189965,6404,False,"",9,B,125833,Dallas-Ft.Worth
1,2010-06-04,80.69,2705,2111764278,7808,False,"",1,A,151315,Houston
40,2011-03-25,28.89,3624,1339587419,5114,False,"",40,A,155083,Charlotte
42,2011-08-12,85.61,3794,1292015806,8257,False,"",42,C,39690,Los Angeles
17,2011-04-22,42.24,3655,1289553,6774,False,"",17,B,93188,Charlotte
41,2010-12-31,25.19,2829,1912557002,7508,True,"",41,A,196321,Los Angeles
3,2011-02-18,61.58,3045,2165843571,7551,False,"",3,B,37392,Denver
3,2011-02-11,43.57,3022,2162660913,7551,True,"",3,B,37392,Denver
3,2012-02-03,59.33,3.36,2236591137,6833,False,"",3,B,37392,Denver
39,2010-08-13,85.66,2692,2103943056,8.36,False,"",39,A,184109,Chicago
1,2013-04-12,62.72,3529,2251701596,6314,False,"",1,A,151315,Houston
37,2011-10-21,67.89,3353,2162468287,7716,False,"",37,C,39910,Austin
33,2013-02-08,59.71,3795,132215129,6806,True,"",33,A,39690,Atlanta
31,2010-04-16,67.87,2808,2101495463,44600,False,"",31,A,203750,Atlanta
28,2013-03-29,62.86,4016,1325914516,9.91,False,"",28,A,206302,Dallas-Ft.Worth
44,2010-05-14,50.15,2962,1262085484,7972,False,"",44,C,39910,Atlanta
39,2011-11-04,58.04,3332,2165634344,7716,False,"",39,A,184109,Chicago
39,2012-11-02,59.87,3386,2221321414,6228,False,"",39,A,184109,Chicago
41,2010-08-13,70.24,2723,1902611552,7335,False,"",41,A,196321,Los Angeles
3,2010-10-15,69.71,2.72,2151293114,7564,False,"",3,B,37392,Denver
19,2011-05-27,63.2,4134,1347677742,7658,False,"",19,A,203819,Philadelphia
39,2012-06-29,85.72,3286,2205278796,6989,False,"",39,A,184109,Chicago
35,2011-11-11,49.69,3.53,1404111613,8745,False,"",35,B,103681,Austin
4,2010-09-24,60.96,2642,1261900333,7372,False,"",4,A,205863,Houston
6,2012-05-04,77.66,3749,2232800541,5964,False,"",6,A,202505,Oralando-Daytona Brach-Melbourne FL
43,2010-04-09,64.37,2.77,2026594654,9593,False,"",43,C,41062,San Diego
29,2010-05-21,59.99,2961,1322230323,10.16,False,"",29,B,93638,Chicago
4,2012-06-01,77.41,3483,1309592258,4308,False,"",4,A,205863,Houston
11,2012-04-20,71.97,3877,2250689541,6664,False,"",11,A,207499,Los Angeles
38,2010-08-06,92.95,3123,1260854516,14.18,False,"",38,C,39690,Kansas City
34,2010-08-27,72.87,2621,1260892903,9816,False,"",34,A,158114,Cleveland-Akron
23,2011-02-18,44738,3263,1333701429,5114,False,"",23,B,114533,Philadelphia
35,2011-05-06,56.48,4046,1384131202,8512,False,"",35,B,103681,Austin
16,2011-04-15,34.59,3611,1924225954,6339,False,"",16,B,57197,Dallas-Ft.Worth
17,2013-03-22,34.72,3518,132529129,5275,False,"",17,B,93188,Charlotte
13,2012-02-24,35.38,3145,1305502069,6104,False,"",13,A,219622,Los Angeles
11,2010-02-26,52.79,2561,2146475127,7368,False,"",11,A,207499,Los Angeles
42,2012-07-20,84.45,3589,1307012903,7.17,False,"",42,C,39690,Los Angeles
45,2011-11-25,48.71,3492,1883504,8523,True,"",45,B,118221,Tampa-St. Pete
3,2010-09-24,76.9,2624,2149084516,7346,False,"",3,B,37392,Denver
20,2010-05-14,55.91,2982,2036133915,7856,False,"",20,A,203742,Tampa-St. Pete
44,2013-06-21,70.49,3.74,,,False,"",44,C,39910,Atlanta
15,2012-08-03,73.13,3819,1381735806,8193,False,"",15,B,123737,Denver
26,2010-04-02,36.53,2826,1319019677,8512,False,"",26,A,152513,Los Angeles
3,2011-10-21,69.03,3353,2209144005,7197,False,"",3,B,37392,Denver
30,2012-05-25,79.49,3561,2213828029,6891,False,"",30,C,42988,Los Angeles
20,2011-05-13,62.26,4066,2089599189,7287,False,"",20,A,203742,Tampa-St. Pete
26,2013-06-14,54.46,3667,,,False,"",26,A,152513,Los Angeles
24,2012-03-02,35.36,3983,1374238966,8659,False,"",24,A,203819,Atlanta
45,2012-06-08,64.3,3689,1910155329,8567,False,"",45,B,118221,Tampa-St. Pete
35,2012-12-14,43.87,3637,142411735,8665,False,"",35,B,103681,Austin
41,2010-11-19,31.34,2758,1910312172,7508,False,"",41,A,196321,Los Angeles
43,2011-09-02,87.84,3533,2076206959,10641,False,"",43,C,41062,San Diego
3,2011-10-28,71.04,3372,2210801842,7197,False,"",3,B,37392,Denver
42,2012-11-09,70.28,3.78,1312793548,6943,False,"",42,C,39690,Los Angeles
31,2012-01-20,52.21,3268,2196258417,7057,False,"",31,A,203750,Atlanta
30,2013-01-11,47.52,3243,2238342663,6237,False,"",30,C,42988,Los Angeles
45,2011-02-11,44650,3239,1837016129,8549,True,"",45,B,118221,Tampa-St. Pete
